[2022-10-12 at 15:58:33] | ---------- New Run ----------
[2022-10-12 at 15:59:16] | ---------- New Run ----------
[2022-10-12 at 15:59:16] | Skeletonizing mask...
[2022-10-12 at 15:59:17] | skeletonization is done.
[2022-10-12 at 16:01:30] | ---------- New Run ----------
[2022-10-12 at 16:01:30] | Skeletonizing mask...
[2022-10-12 at 16:01:30] | skeletonization is done.
[2022-10-12 at 16:01:30] | Resolving links and nodes...
[2022-10-12 at 16:01:32] | links and nodes have been resolved.
[2022-10-12 at 16:09:19] | ---------- New Run ----------
[2022-10-12 at 16:09:19] | Skeletonizing mask...
[2022-10-12 at 16:09:19] | skeletonization is done.
[2022-10-12 at 16:09:19] | Resolving links and nodes...
[2022-10-12 at 16:09:21] | links and nodes have been resolved.
[2022-10-12 at 16:09:22] | Computing distance transform...
[2022-10-12 at 16:09:22] | distance transform done.
[2022-10-12 at 16:09:22] | Computing link widths and lengths...
[2022-10-12 at 16:09:22] | link widths and lengths computed.
[2022-10-12 at 16:13:03] | ---------- New Run ----------
[2022-10-12 at 16:13:03] | Skeletonizing mask...
[2022-10-12 at 16:13:03] | skeletonization is done.
[2022-10-12 at 16:13:03] | Resolving links and nodes...
[2022-10-12 at 16:13:05] | links and nodes have been resolved.
[2022-10-12 at 16:13:06] | Computing distance transform...
[2022-10-12 at 16:13:06] | distance transform done.
[2022-10-12 at 16:13:06] | Computing link widths and lengths...
[2022-10-12 at 16:13:06] | link widths and lengths computed.
[2022-10-12 at 16:13:07] | Computing centerline...
[2022-10-12 at 16:13:07] | centerline computation is done.
[2022-10-12 at 16:13:07] | Computing link widths and lengths...
[2022-10-12 at 16:13:07] | link widths and lengths computed.
[2022-10-12 at 16:13:07] | Generating mesh...
[2022-10-12 at 16:17:07] | ---------- New Run ----------
[2022-10-12 at 16:17:07] | Skeletonizing mask...
[2022-10-12 at 16:17:07] | skeletonization is done.
[2022-10-12 at 16:17:07] | Resolving links and nodes...
[2022-10-12 at 16:17:09] | links and nodes have been resolved.
[2022-10-12 at 16:17:10] | Computing distance transform...
[2022-10-12 at 16:17:10] | distance transform done.
[2022-10-12 at 16:17:10] | Computing link widths and lengths...
[2022-10-12 at 16:17:11] | link widths and lengths computed.
[2022-10-12 at 16:18:59] | ---------- New Run ----------
[2022-10-12 at 16:18:59] | Skeletonizing mask...
[2022-10-12 at 16:19:00] | skeletonization is done.
[2022-10-12 at 16:19:00] | Resolving links and nodes...
[2022-10-12 at 16:19:01] | links and nodes have been resolved.
[2022-10-12 at 16:19:04] | Computing distance transform...
[2022-10-12 at 16:19:04] | distance transform done.
[2022-10-12 at 16:19:04] | Computing link widths and lengths...
[2022-10-12 at 16:19:04] | link widths and lengths computed.
[2022-10-12 at 16:19:25] | ---------- New Run ----------
[2022-10-12 at 16:19:25] | Skeletonizing mask...
[2022-10-12 at 16:19:25] | skeletonization is done.
[2022-10-12 at 16:19:25] | Resolving links and nodes...
[2022-10-12 at 16:19:27] | links and nodes have been resolved.
[2022-10-12 at 16:19:29] | Computing distance transform...
[2022-10-12 at 16:19:29] | distance transform done.
[2022-10-12 at 16:19:29] | Computing link widths and lengths...
[2022-10-12 at 16:19:29] | link widths and lengths computed.
[2022-10-12 at 16:30:20] | ---------- New Run ----------
[2022-10-12 at 16:30:20] | Skeletonizing mask...
[2022-10-12 at 16:30:20] | skeletonization is done.
[2022-10-12 at 16:30:20] | Resolving links and nodes...
[2022-10-12 at 16:30:21] | links and nodes have been resolved.
[2022-10-12 at 16:30:22] | Computing distance transform...
[2022-10-12 at 16:30:22] | distance transform done.
[2022-10-12 at 16:30:22] | Computing link widths and lengths...
[2022-10-12 at 16:30:22] | link widths and lengths computed.
[2022-10-12 at 16:30:49] | ---------- New Run ----------
[2022-10-12 at 16:30:49] | Skeletonizing mask...
[2022-10-12 at 16:30:49] | skeletonization is done.
[2022-10-12 at 16:30:49] | Resolving links and nodes...
[2022-10-12 at 16:30:50] | links and nodes have been resolved.
[2022-10-12 at 16:30:51] | Computing distance transform...
[2022-10-12 at 16:30:51] | distance transform done.
[2022-10-12 at 16:30:51] | Computing link widths and lengths...
[2022-10-12 at 16:30:51] | link widths and lengths computed.
[2022-10-12 at 16:33:08] | ---------- New Run ----------
[2022-10-12 at 16:33:08] | Skeletonizing mask...
[2022-10-12 at 16:33:09] | skeletonization is done.
[2022-10-12 at 16:33:09] | Resolving links and nodes...
[2022-10-12 at 16:33:10] | links and nodes have been resolved.
[2022-10-12 at 16:33:11] | Computing distance transform...
[2022-10-12 at 16:33:11] | distance transform done.
[2022-10-12 at 16:33:11] | Computing link widths and lengths...
[2022-10-12 at 16:33:11] | link widths and lengths computed.
[2022-10-12 at 16:37:25] | ---------- New Run ----------
[2022-10-12 at 16:37:25] | Skeletonizing mask...
[2022-10-12 at 16:37:25] | skeletonization is done.
[2022-10-12 at 16:37:25] | Resolving links and nodes...
[2022-10-12 at 16:37:26] | links and nodes have been resolved.
[2022-10-12 at 16:37:27] | Computing distance transform...
[2022-10-12 at 16:37:27] | distance transform done.
[2022-10-12 at 16:37:27] | Computing link widths and lengths...
[2022-10-12 at 16:37:27] | link widths and lengths computed.
